,ch_n,ch_e,station_name,lat,lon,commune_id,name,canton
686,1249127.545,2646254.039,Aarau,47.3913517332,8.05125348344,4001.0,Aarau,AG
687,1249130.758,2646261.8680000002,Aarau,47.3913800813,8.05135750541,4001.0,Aarau,AG
688,1249130.035,2646260.102,Aarau,47.3913737027,8.05133404118,4001.0,Aarau,AG
689,1255201.289,2658552.09,Lupfig,47.444999314200004,8.21492564116,4104.0,Lupfig,AG
690,1254266.127,2658758.4280000003,Birr,47.43657043020001,8.21753813212,4092.0,Birr,AG
691,1248834.884,2651905.242,Hunzenschwil,47.388298775600006,8.126065394960001,4200.0,Hunzenschwil,AG
692,1251885.675,2654691.775,Wildegg,47.415511637399995,8.16334159239,4203.0,Möriken-Wildegg,AG
693,1255900.761,2654934.42,Schinznach Bad,47.4516019463,8.16705032848,4095.0,Brugg,AG
694,1253342.932,2654921.495,Holderbank AG,47.4285987131,8.16656447073,4199.0,Holderbank (AG),AG
695,1251868.767,2654676.098,Wildegg,47.41536087229999,8.16313180161,4203.0,Möriken-Wildegg,AG
696,1250496.268,2651972.884,Rupperswil,47.403235690600006,8.127154171839999,4206.0,Rupperswil,AG
697,1078690.689,2716954.7430000002,Stabio,45.8497555795,8.944194141639999,5266.0,Stabio,TI
698,1108157.3020000001,2703426.412,Ranzo-S. Abbondio,46.1169826116,8.77654966564,5398.0,Gambarogno,TI
699,1111403.077,2709058.7939999998,Magadino-Vira,46.1452879299,8.85014916831,5398.0,Gambarogno,TI
700,1112122.264,2711918.745,Quartino,46.1512873975,8.887327953,5398.0,Gambarogno,TI
701,1108734.305,2704070.89,Gerra (Gambarogno),46.1220731396,8.78501296364,5398.0,Gambarogno,TI
702,1110215.095,2705748.28,S. Nazzaro,46.13513062689999,8.80704315806,5398.0,Gambarogno,TI
703,1113266.575,2718586.605,S. Antonino,46.160438594300004,8.973905642010001,5017.0,Sant'Antonino,TI
704,1115162.497,2710288.5760000004,Gordola,46.1789003605,8.866948028160001,5108.0,Gordola,TI
705,1115146.561,2710284.095,Gordola,46.1787577642,8.866886252410001,5108.0,Gordola,TI
706,1114976.3909999998,2709110.637,Tenero,46.177418376999995,8.851652909910001,5131.0,Tenero-Contra,TI
707,1114362.697,2705213.689,Locarno,46.1725187525,8.801058823910001,5120.0,Muralto,TI
708,1114781.8190000001,2711827.7389999996,Riazzino,46.175222693,8.88678563775,5113.0,Locarno,TI
709,1114373.4579999999,2705251.645,Locarno,46.1726096092,8.8015526388,5120.0,Muralto,TI
710,1114346.201,2705227.752,Locarno,46.172368186599996,8.80123717981,5120.0,Muralto,TI
711,1114319.045,2705172.644,Locarno,46.172132546499995,8.80051762658,5120.0,Muralto,TI
712,1112333.1570000001,2716143.648,Cadenazzo,46.152469118599996,8.9420545609,5003.0,Cadenazzo,TI
713,1114766.428,2711824.816,Riazzino,46.175084750699995,8.88674411558,5113.0,Locarno,TI
714,1114362.834,2705210.905,Locarno,46.172520419499996,8.801022811869998,5120.0,Muralto,TI
715,1114355.3390000002,2705187.644,Locarno,46.1724566409,8.80071998025,5120.0,Muralto,TI
716,1200474.945,2689988.99,Sisikon,46.949262463400004,8.620743356539998,1217.0,Sisikon,UR
717,1209078.655,2690732.0160000003,Schwyz,47.026543759,8.63222140735,1372.0,Schwyz,SZ
718,1209077.159,2690732.5310000004,Schwyz,47.026530233500004,8.63222788186,1372.0,Schwyz,SZ
719,1206053.817,2689107.091,Brunnen,46.99955849689999,8.610254443639999,1364.0,Ingenbohl,SZ
720,1117195.717,2722757.6569999997,Bellinzona,46.195029143199996,9.02892202974,5002.0,Bellinzona,TI
721,1117093.969,2722667.564,Bellinzona,46.194130468199994,9.02772853095,5002.0,Bellinzona,TI
722,1114810.113,2720872.33,Giubiasco,46.1739146175,9.00388830619,5002.0,Bellinzona,TI
723,1109118.2340000002,2714897.4510000004,Rivera-Bironico,46.12376790890001,8.92513869674,5238.0,Monteceneri,TI
724,1101647.022,2715443.776,Taverne-Torricella,46.0564791428,8.93036729182,5227.0,Torricella-Taverne,TI
725,1096020.64,2716851.311,Lugano,46.005634208800004,8.94715258891,5192.0,Lugano,TI
726,1095988.797,2716789.8039999995,Lugano,46.0053584554,8.94635085198,5192.0,Lugano,TI
727,1087906.179,2719093.9689999996,Maroggia-Melano,45.932263486000004,8.97404698533,5197.0,Melano,TI
728,1084662.616,2719541.055,Capolago-Riva S. Vitale,45.903013190900005,8.97898844265,5254.0,Mendrisio,TI
729,1076875.278,2723771.308,Chiasso,45.8322177171,9.03144514984,5250.0,Chiasso,TI
730,1216119.231,2677760.8880000003,Immensee,47.0915160184,8.462814331419999,1331.0,Küssnacht (SZ),SZ
731,1211495.43,2684432.09,Arth-Goldau,47.0491125434,8.54980678638,1362.0,Arth,SZ
732,1151805.7,2696034.982,Ambri-Piotta,46.510670638,8.68995649992,5079.0,Quinto,TI
733,1148858.897,2703844.91,Faido,46.4830003088,8.79103717835,5072.0,Faido,TI
734,1137601.043,2712925.9260000004,Bodio TI,46.3802769025,8.90653208582,5064.0,Bodio,TI
735,1134559.549,2718190.9269999997,Biasca,46.3520151717,8.97417948309,5281.0,Biasca,TI
736,1114809.192,2720873.7810000004,Giubiasco,46.1739060738,9.0039068531,5002.0,Bellinzona,TI
737,1096046.4,2716793.9869999997,Lugano,46.0058758025,8.94641913085,5192.0,Lugano,TI
738,1095943.986,2716830.974,Lugano,46.0049483151,8.94687108664,5192.0,Lugano,TI
739,1094211.121,2716831.403,Lugano-Paradiso,45.9893632025,8.94644668912,5210.0,Paradiso,TI
740,1090448.37,2717069.3260000004,Melide,45.955480717600004,8.94858188984,5198.0,Melide,TI
741,1081809.112,2719908.8030000003,Mendrisio S. Martino,45.8772848763,8.983002006260001,5254.0,Mendrisio,TI
